Name;Unicode point;UTF-8 encoding
LETTRE  k AVEC ACCENT AIGU;U+006b - U+0301;6b - cc - 81
LETTRE  k AVEC ACCENT CIRCONFLEXE;U+006b - U+0302;6b - cc - 82
LETTRE  k AVEC ACCENT EN v;U+01e9;c7 - a9
LETTRE  k AVEC BARRE OBLIQUE;U+006b - U+0338;6b - cc - b8
LETTRE  K AVEC TREMA;U+004b - U+0308;4b - cc - 88
LETTRE  k AVEC TREMA;U+006b - U+0308;6b - cc - 88
LETTRE  L;U+004c;4c
LETTRE  l;U+006c;6c
LETTRE  l AVEC ACCENT AIGU;U+013a;c4 - ba
LETTRE  l AVEC ACCENT CIRCONFLEXE;U+006c - U+0302;6c - cc - 82
LETTRE  L AVEC APOSTROPHE;U+013d;c4 - bd
LETTRE  l AVEC CEDILLE;U+013c;c4 - bc
LETTRE  l AVEC TILDE;U+006c - U+0303;6c - cc - 83
LETTRE  l AVEC TREMA;U+006c - U+0308;6c - cc - 88
LETTRE  L BARREE;U+0141;c5 - 81
LETTRE  l BARREE;U+0142;c5 - 82
LETTRE  M;U+004d;4d
LETTRE  m;U+006d;6d
LETTRE  M AVEC ACCENT AIGU;U+004d - U+0301;4d - cc - 81
LETTRE  m AVEC ACCENT CIRCONFLEXE;U+006d - U+0302;6d - cc - 82
LETTRE  m AVEC ACCENT EN v;U+006d - U+030c;6d - cc - 8c
LETTRE  m AVEC ACCENT GRAVE;U+006d - U+0300;6d - cc - 80
LETTRE  M AVEC APOSTROPHE;U+004d - U+0315;4d - cc - 95
LETTRE  m AVEC ROND SUPERIEUR, SIGNE DEGRE;U+006d - U+030a;6d - cc - 8a
LETTRE  M AVEC TILDE;U+004d - U+0303;4d - cc - 83
LETTRE  m AVEC TILDE;U+006d - U+0303;6d - cc - 83
LETTRE  M AVEC TREMA;U+004d - U+0308;4d - cc - 88
LETTRE  m AVEC TREMA;U+006d - U+0308;6d - cc - 88
LETTRE  N;U+004e;4e
LETTRE  n;U+006e;6e
LETTRE  n AVEC ACCENT AIGU;U+0144;c5 - 84
LETTRE  n AVEC ACCENT CIRCONFLEXE;U+006e - U+0302;6e - cc - 82
LETTRE  n AVEC ACCENT EN v;U+0148;c5 - 88
LETTRE  n AVEC ACCENT GRAVE;U+01f9;c7 - b9
LETTRE  N AVEC APOSTROPHE;U+0143;c5 - 83
LETTRE  n AVEC APOSTROPHE;U+006e - U+0315;6e - cc - 95
LETTRE  n AVEC CEDILLE;U+0146;c5 - 86
LETTRE  n AVEC ROND SUPERIEUR, SIGNE DEGRE;U+006e - U+030a;6e - cc - 8a
LETTRE  N AVEC TILDE;U+00d1;c3 - 91
LETTRE  n AVEC TILDE;U+00f1;c3 - b1
LETTRE  n AVEC TREMA;U+006e - U+0308;6e - cc - 88
LETTRE  O;U+004f;4f
LETTRE  o;U+006f;6f
LETTRE  O AVEC ACCENT AIGU;U+00d3;c3 - 93
LETTRE  o AVEC ACCENT AIGU;U+00f3;c3 - b3
LETTRE  O AVEC ACCENT CIRCONFLEXE;U+00d4;c3 - 94
LETTRE  o AVEC ACCENT CIRCONFLEXE;U+00f4;c3 - b4
LETTRE  O AVEC ACCENT EN v;U+014e;c5 - 8e
LETTRE  o AVEC ACCENT EN v;U+014f;c5 - 8f
LETTRE  O AVEC ACCENT GRAVE;U+00d2;c3 - 92
LETTRE  o AVEC ACCENT GRAVE;U+00f2;c3 - b2
LETTRE  O AVEC APOSTROPHE;U+004f - U+030d;4f - cc - 8d
LETTRE  o AVEC APOSTROPHE;U+006f - U+0315;6f - cc - 95
LETTRE  o AVEC CEDILLE;U+006f - U+0327;6f - cc - a7
LETTRE  O AVEC DOUBLE APOSTROPHE;U+00d6;c3 - 96
LETTRE  o AVEC DOUBLE APOSTROPHE;U+00f6;c3 - b6
LETTRE  O AVEC ROND SUPERIEUR, SIGNE DEGRE;U+004f - U+030a;4f - cc - 8a
LETTRE  o AVEC ROND SUPERIEUR, SIGNE DEGRE;U+006f - U+030a;6f - cc - 8a
LETTRE  o AVEC SIGNE LOSANGE;U+006f - U+030a;6f - cc - 8a
LETTRE  O AVEC TILDE;U+00d5;c3 - 95
LETTRE  o AVEC TILDE;U+00f5;c3 - b5
LETTRE  O AVEC TREMA;U+00d6;c3 - 96
LETTRE  o AVEC TREMA;U+00f6;c3 - b6
LETTRE  O BARREE;U+00d8;c3 - 98
LETTRE  o BARREE;U+00f8;c3 - b8
LETTRE  P;U+0050;50
LETTRE  p;U+0070;70
LETTRE  p AVEC ACCENT CIRCONFLEXE;U+0070 - U+0302;70 - cc - 82
LETTRE  P AVEC ACCENT EN v;U+0050 - U+030c;50 - cc - 8c
LETTRE  p AVEC TREMA;U+0070 - U+0308;70 - cc - 88
LETTRE  Q;U+0051;51
LETTRE  q;U+0071;71
LETTRE  q AVEC ACCENT AIGU;U+0071 - U+0301;71 - cc - 81
LETTRE  R;U+0052;52
LETTRE  r;U+0072;72
LETTRE  r AVEC ACCENT AIGU;U+0155;c5 - 95
LETTRE  r AVEC ACCENT CIRCONFLEXE;U+0072 - U+0302;72 - cc - 82
LETTRE  r AVEC ACCENT EN v;U+0159;c5 - 99
LETTRE  r AVEC ACCENT GRAVE;U+0072 - U+0300;72 - cc - 80
LETTRE  r AVEC APOSTROPHE;U+0072 - U+0315;72 - cc - 95
LETTRE  r AVEC TILDE;U+0072 - U+0303;72 - cc - 83
LETTRE  r AVEC TREMA;U+0072 - U+0308;72 - cc - 88
LETTRE  S;U+0053;53
LETTRE  s;U+0073;73
LETTRE  S AVEC ACCENT AIGU;U+015a;c5 - 9a
LETTRE  s AVEC ACCENT AIGU;U+015b;c5 - 9b
LETTRE  S AVEC ACCENT CIRCONFLEXE;U+015c;c5 - 9c
LETTRE  s AVEC ACCENT CIRCONFLEXE;U+015d;c5 - 9d
LETTRE  S AVEC ACCENT EN v;U+0160;c5 - a0
LETTRE  s AVEC ACCENT EN v;U+0161;c5 - a1
LETTRE  S AVEC ACCENT GRAVE;U+0053 - U+0300;53 - cc - 80
LETTRE  s AVEC ACCENT GRAVE;U+0073 - U+0300;73 - cc - 80
LETTRE  s AVEC APOSTROPHE;U+0073 - U+0315;73 - cc - 95
LETTRE  s AVEC BARRE OBLIQUE;U+0073 - U+0338;73 - cc - b8
LETTRE  S AVEC BARRE VERTICALE;U+0053 - U+030d;53 - cc - 8d
LETTRE  S AVEC CEDILLE;U+015e;c5 - 9e
LETTRE  s AVEC CEDILLE;U+015f;c5 - 9f
LETTRE  s AVEC ROND SUPERIEUR, SIGNE DEGRE;U+0073 - U+030a;73 - cc - 8a
LETTRE  S AVEC TILDE;U+0053 - U+0303;53 - cc - 83
LETTRE  s AVEC TILDE;U+0073 - U+0303;73 - cc - 83
LETTRE  S AVEC TREMA;U+0053 - U+0308;53 - cc - 88
LETTRE  s AVEC TREMA;U+0073 - U+0308;73 - cc - 88
LETTRE  T;U+0054;54
LETTRE  t;U+0074;74
LETTRE  T AVEC ACCENT AIGU;U+0054 - U+0301;54 - cc - 81
LETTRE  t AVEC ACCENT CIRCONFLEXE;U+0074 - U+0302;74 - cc - 82
LETTRE  t AVEC ACCENT GRAVE;U+0074 - U+0300;74 - cc - 80
LETTRE  t AVEC CEDILLE;U+0163;c5 - a3
LETTRE  t AVEC TREMA;U+0074 - U+0308;74 - cc - 88
LETTRE  U;U+0055;55
LETTRE  u;U+0075;75
LETTRE  u AVEC ACCENT AIGU;U+00fa;c3 - ba
LETTRE  U AVEC ACCENT CIRCONFLEXE;U+00db;c3 - 9b
LETTRE  u AVEC ACCENT CIRCONFLEXE;U+00fb;c3 - bb
LETTRE  u AVEC ACCENT EN v;U+016d;c5 - ad
LETTRE  U AVEC ACCENT GRAVE;U+00d9;c3 - 99
LETTRE  u AVEC ACCENT GRAVE;U+00f9;c3 - b9
LETTRE  U AVEC APOSTROPHE;U+0055 - U+0315;55 - cc - 95
LETTRE  u AVEC APOSTROPHE;U+0075 - U+0315;75 - cc - 95
LETTRE  u AVEC CEDILLE;U+0075 - U+0327;75 - cc - a7
LETTRE  U AVEC DOUBLE APOSTROPHE;U+00dc;c3 - 9c
LETTRE  u AVEC DOUBLE APOSTROPHE;U+00fc;c3 - bc
LETTRE  u AVEC ROND SUPERIEUR, SIGNE DEGRE;U+0075 - U+030a;75 - cc - 8a
LETTRE  U AVEC TILDE;U+0168;c5 - a8
LETTRE  u AVEC TILDE;U+0169;c5 - a9
LETTRE  U AVEC TREMA;U+00dc;c3 - 9c
LETTRE  u AVEC TREMA;U+00fc;c3 - bc
LETTRE  V;U+0056;56
LETTRE  v;U+0076;76
LETTRE  v AVEC ACCENT CIRCONFLEXE;U+0076 - U+0302;76 - cc - 82
LETTRE  v AVEC APOSTROPHE;U+0076 - U+0315;76 - cc - 95
LETTRE  v AVEC BARRE OBLIQUE;U+0076 - U+0338;76 - cc - b8
LETTRE  v AVEC TREMA;U+0076 - U+0308;76 - cc - 88
LETTRE  W;U+0057;57
LETTRE  w;U+0077;77
LETTRE  W AVEC APOSTROPHE;U+0057 - U+0315;57 - cc - 95
LETTRE  w AVEC TREMA;U+0077 - U+0308;77 - cc - 88
LETTRE  X;U+0058;58
LETTRE  x;U+0078;78
LETTRE  x AVEC TREMA;U+0078 - U+0308;78 - cc - 88
LETTRE  Y;U+0059;59
LETTRE  y;U+0079;79
LETTRE  Y AVEC ACCENT AIGU;U+00dd;c3 - 9d
LETTRE  y AVEC ACCENT AIGU;U+00fd;c3 - bd
LETTRE  y AVEC ACCENT CIRCONFLEXE;U+0177;c5 - b7
LETTRE  y AVEC ACCENT GRAVE;U+0079 - U+0300;79 - cc - 80
LETTRE  Y AVEC APOSTROPHE;U+0059 - U+0315;59 - cc - 95
LETTRE  y AVEC APOSTROPHE;U+0079 - U+0315;79 - cc - 95
